Id,Label,timeset,Name,gender,sphere,occupation,generation,journal,circle
"#abramovich","#abramovich",,"#abramovich",m,else,politician,,,
"#bunins","#bunins",,"#bunins",,,,,,
"#fondaminskij","#fondaminskij",,"#fondaminskij",m,literature / else,editor / revolutionary,elder,Современные записки / Новый град,Круг / Зеленая лампа / Православное дело
"#hmara","#hmara",,"#hmara",m,art,actor,,,
"#landau","#landau",,"#landau",m,literature,writer / critic / publicist,elder,Дни / Современные записки / Последние новости / Иллюстрированная Россия,Зеленая лампа
"#perskie","#perskie",,"#perskie",m / f,else,acquaintance,,,
"#sirin","#sirin",,"#sirin",m,literature,writer,younger,Возрождение / Современные записки,
"#teffi","#teffi",,"#teffi",f,literature,writer,elder,Современные записки / Последние новости / Иллюстрированная Россия,Зеленая лампа
"#adamovich","#adamovich",,"#adamovich",m,literature,poet / critic,younger,Звено / Последние новости / Числа / Встречи / Современные записки / Новый корабль,Зеленая лампа / Круг / Парижская нота
"#berberova","#berberova",,"#berberova",f,literature,poet / writer,younger,Современные записки / Новый корабль / Встречи / Последние новости,Зеленая лампа
"#gippius","#gippius",,"#gippius",f,literature,poet / writer,elder,Возрождение / Современные записки / Новый корабль / Литературный смотр / Иллюстрированная Россия / Встречи / Числа,Зеленая лампа / Воскресения
"#merezhkovskij","#merezhkovskij",,"#merezhkovskij",m,literature,writer / editor,elder,Современные записки / Возрождение / Новый корабль / Иллюстрированная Россия / Меч / Встречи / Числа,Зеленая лампа / Воскресения
"#otsup","#otsup",,"#otsup",m,literature,poet,younger,Новый корабль / Числа,Зеленая лампа
"#tsetlin","#tsetlin",,"#tsetlin",m,literature,poet / editor / publisher / patron,elder,Современные записки / Последние новости,Зеленая лампа
"#tsetlina","#tsetlina",,"#tsetlina",f,else,activist,,,
"#aga","#aga",,"#aga",m,else,restaurateur,,,
"#bal'mont","#bal'mont",,"#bal'mont",m,literature,poet,elder,Современные записки / Дни / Последние новости,
"#kul'man","#kul'man",,"#kul'man",m,academic / literature,professor / publicist,elder,Возрождение / Современные записки / Россия и славянство / Русская мысль,
"#kuprin","#kuprin",,"#kuprin",m,literature,writer / editor,elder,Возрождение / Иллюстрированная Россия,
"#osorgin","#osorgin",,"#osorgin",m,literature,writer / journalist,elder,Дни / Современные записки / Иллюстрированная Россия / Последние новости / Новые писатели,
"#osorgina","#osorgina",,"#osorgina",f,relatives,wife,,,
"#shestov","#shestov",,"#shestov",m,academic / literature,philosopher,,Версты / Числа,Зеленая лампа
"#shmelev","#shmelev",,"#shmelev",m,literature,writer,elder,Возрождение / Современные записки / Иллюстрированная Россия / Встречи,
"#zajtsev","#zajtsev",,"#zajtsev",m,literature,writer,elder,Современные записки / Возрождение / Иллюстрированная Россия / Числа,Зеленая лампа
"#zajtseva","#zajtseva",,"#zajtseva",f,relatives,wife,,,
"#barjatinskij","#barjatinskij",,"#barjatinskij",m,literature / else,prince / journalist / writer,elder,Последние новости,
"#belich","#belich",,"#belich",m,academic,professor,,,
"#tikston","#tikston",,"#tikston",m,else,entrepreneur,,,
"#hodasevich","#hodasevich",,"#hodasevich",m,literature,poet / critic,elder,Возрождение / Дни / Современные записки / Иллюстрированная Россия,Зеленая лампа
"#kuznetsova","#kuznetsova",,"#kuznetsova",f,literature,poet / writer,younger,Современные записки / Последние новости,
"#leviny","#leviny",,"#leviny",m / f,else,entrepreneur / acquaintance,,,
"#nilus","#nilus",,"#nilus",m,art,artist,,,
"#brezhnev","#brezhnev",,"#brezhnev",m,else,acquaintance,,,
"#peshkova","#peshkova",,"#peshkova",f,else,human right defender,,,
"#demidov","#demidov",,"#demidov",m,literature / else,politician / journalist,elder,Последние новости,
"#denikin","#denikin",,"#denikin",m,else,general,,,
"#el'jashevich","#el'jashevich",,"#el'jashevich",m,literature,publicist / professor,elder,,
"#eremeeva","#eremeeva",,"#eremeeva",f,literature,writer,elder,,
"#evlogij","#evlogij",,"#evlogij",m,religion,archbishop,,,
"#fedotov","#fedotov",,"#fedotov",m,academic,professor,,,
"#gessen","#gessen",,"#gessen",m,literature / else,politician / publicist,elder,Новый град,
"#glazunov","#glazunov",,"#glazunov",m,art,composer,,,
